Z_HS300,A1_CAPITALIN,A2_HKCapitalin,A4_NEWFUND,A5_SAVE_MKTVL,A6_ISPO,A8_Leverage_AMT,B1_Basis,B3_HS300AMT,B4_Leverage,B5_NEWINVSTOR,B6_PEG,B7_DVDM10YTRY,B8_PELevel,B9_Erating,C1_SHIBOR3M,C2_TEDSPRD,C3_AUFI,C4_ICEOIL,C5_CBOND,C6_COMMEDITY,C7_USDCNY,C8_OMO,C9_HOTMONEY
-0.027086837,-162.59002,0,0,0.06919955,18.579,0,0,0.210364515,0,-0.033797918,0,-0.0056,-0.059125853,0.006,0.00076,0.5148,0.008254002,0.043034929,-0.001017812,0.004896581,-4.39E-05,-1370,-270.9493
0.000749117,-239.003062,0,0,-0.171885641,18.579,0,0,0.161190105,0,0.191603502,-0.016430437,-0.0272,-0.007071507,0.0129,0.02018,0.5528,0.010554334,-0.053344298,0.001252544,-0.009432093,-0.000117173,-1020,-270.9493
-0.034035146,-427.665641,0,5.9207,0.101745029,18.579,0,0,-0.125333406,0,0.131101735,-0.049182762,0.1003,-0.054915206,-0.0178,0.0247,0.5832,-0.035780385,-0.064469439,0.00140724,-0.018583726,0,280,-270.9493
-0.049335215,-279.254395,0,36.1742,0.140582977,18.579,0,0,-0.463458241,0,-0.047663259,-0.045291408,0.1116,-0.028893782,-0.0057,0.02032,0.6389,-0.016443022,-0.016718138,0.003120127,-0.060006822,-1.46E-05,1460,-270.9493
-0.016066432,-187.651982,0,89.1352,0.001045343,23.46266667,0,0,0.054318974,0,-0.164706961,-0.016646848,0.1327,-0.015926066,0.003,0.00986,0.5787,-0.015135111,-0.012440081,0.003576152,-0.046652081,2.93E-05,2140,123.7463
0.030666177,-13.897003,0,111.7,-0.089523078,23.46266667,0,0,-0.483289066,0,-0.3185938,0.022161039,-0.0252,0.023059796,-0.0041,0.0126,0.5588,0.026881168,0.038509223,0.002247976,0.069136943,-4.39E-05,2940,123.7463
0.00930307,-51.51098,0,0,-0.067083341,23.46266667,0,0,0.358915664,0,0.547108759,0.013061702,0.0747,0.001839781,0.011,0.02006,0.6199,0.017199823,0.060930528,0.003401101,0.019743371,0,-610,123.7463
-0.00669642,-243.789781,0,0,0.087104495,25.49233333,0,0,0.134737993,0,0.01322236,0.010566193,0.0324,-0.014088525,0.0052,0.0062,0.6538,0.01963264,0.031813088,0.00584752,0.014651951,-4.39E-05,-590,7.0566
-0.008205329,-171.360375,0,0,0.024929268,25.49233333,0,0,-0.233623134,0,0.049244693,-0.013756089,-0.0936,-0.010634909,-0.0269,-0.00254,0.6092,-0.017877325,-0.008770887,-0.000844238,-0.004782832,-5.86E-05,-820,7.0566
0.018613998,-53.751113,0,0,-0.08176161,25.49233333,0,0,-0.09212249,0,0.115664906,0.002728013,0.0521,0.007725846,-0.0065,-0.00178,0.6225,0.007607147,0.004269754,0.003219627,0.010272762,1.46E-05,-2130,7.0566
-0.005744989,-196.427265,0,110.2609,-0.008323154,25.49233333,0,0,0.097242088,0,0.090627205,-0.013828435,-0.0672,-0.025423251,0.0127,-0.00034,0.6635,-0.019733171,-0.005529041,-0.000382746,-0.000969654,7.32E-05,-2180,7.0566
0.039615209,35.411274,0,70.1467,-0.055476685,13.658,3.15E-05,0,0.390206764,8.46E-07,-0.07420944,0.018774834,-0.0666,-0.004620753,0.0069,-0.00044,0.7316,0.016923303,0.061809877,-0.000612698,0.031717536,-0.000117192,-1630,145.0522
-0.008303572,-242.067104,0,17.2317,-0.003117254,13.658,3.11E-05,0,-0.040276337,3.64E-06,-0.511696791,-0.013177071,-0.0528,-0.014835134,0.0016,-0.00116,0.6388,0.024836775,0.006023047,-0.000766401,0.000551363,0,-1100,145.0522
-0.006781406,-230.842754,0,37.5689,0.017080447,13.658,6.51E-05,0.017658563,0.07636294,6.83E-06,0.256285545,-0.000312238,0.0847,-0.003689546,-0.0032,0.00054,0.6142,-0.000877822,0.012868685,0.001914902,-0.004309122,1.46E-05,-140,145.0522
-0.050826854,-386.949057,0,114.162,0.116524109,13.658,-1.47E-05,0.009779615,0.046153831,5.95E-06,0.004112455,-0.087195954,0.1555,-0.082649729,0.005,0.00022,0.6104,-0.011536129,0.013622931,0.002445736,-0.025062155,4.39E-05,-650,145.0522
-0.03920297,-283.503647,0,14.2856,0.160270526,13.658,9.53E-05,0.012921514,-0.281046904,8.56E-06,-0.007861388,-0.023958035,0.0922,-0.087656625,-0.0082,-0.00208,0.6212,0.028544645,0.002976874,0.003277067,-0.028379365,-1.46E-05,-1150,145.0522
-0.078146108,-196.304372,0,33.8396,0.19458514,15,0.000162082,0.021436561,-0.004619338,1.13E-05,-0.450298549,-0.068634396,0.2409,-0.018847105,0.0041,0.0056,0.6384,0.022828566,-0.107178663,0.002735356,-0.064361883,0.000117187,-220,-727.5143
0.010950164,-103.895678,0,32.9185,0.002214891,15,-5.12E-06,-0.00189085,-0.124045147,1.12E-05,0.380404391,0.016368046,-0.0209,0.00358446,0.0009,0.00328,0.5733,0.025289854,-0.017976858,0.001213316,0.020242545,2.93E-05,1520,-727.5143
-0.035212179,-73.66358,0,44.9809,0.119664578,15,0.000109234,0.011632875,-0.097102312,1.34E-05,-0.017353773,-0.039487192,0.1515,-0.0164924,-0.0043,0.0036,0.4812,-0.0432999,-0.068641251,0.004914015,-0.039960448,4.39E-05,-510,-727.5143
0.029014191,-43.060851,0,28.1608,-0.130056398,15,5.69E-05,0.005226815,0.126891162,1.23E-05,0.07070815,0.025208479,0.1939,0.012393322,-0.0028,0.08086,0.3859,0.030301211,0.029265045,-0.000150841,0.030649782,4.39E-05,1450,-727.5143
-0.037865761,-160.541005,0,34.223,0.167190478,42.76966667,-9.68E-05,0.00605198,-0.322911174,1.05E-05,-0.218365336,-0.034516609,0.0582,-0.030664699,0.0069,0.17748,0.5262,-0.010590417,-0.034831438,0.001130753,-0.044863697,2.93E-05,140,668.4392
0.005260533,-45.090918,0,45.982,-0.049952646,42.76966667,4.18E-05,0.002513352,0.065006724,8.05E-06,0.057167249,0.009856643,-0.1941,0.006028365,-0.0044,0.07336,0.4526,0.013332941,0.042751474,0.002257677,-0.020512779,-2.93E-05,1660,668.4392
-0.022988962,-85.525803,0,9.9918,0.110902699,42.76966667,-1.78E-05,0.008172345,0.003114069,4.90E-06,-0.841357861,-0.010563018,-0.1575,-0.027348844,0.0111,0.08898,0.4555,0.020466622,0.047012182,0.001652396,-0.007155191,-5.86E-05,1900,668.4392
0.014771128,-19.475481,0,37.6996,-0.072756641,42.76966667,0.000279711,0.006400279,-0.177713062,8.35E-06,0.961472381,0.038572225,0.055,0.028931756,0.0072,0.18374,0.522,-0.003548954,0.000255102,-0.002780598,0.034438656,-0.005566545,2010,668.4392
-0.076761374,-148.121065,0,48.0895,0.378266669,33.975,1.90E-06,0.004693965,-0.119447065,1.26E-05,-0.052486645,-0.063002348,0.0013,-0.069411507,0.0053,0.07394,0.5357,-0.036626661,-0.08639708,0.003155762,-0.013892441,-0.002595565,670,720.8019
0.043625695,39.091522,0,0,-0.196856026,33.975,0.000415153,0.001094026,0.051805094,2.36E-05,-0.244559329,0.025928819,0.0945,0.043719154,-0.0039,-0.02362,0.7143,-0.006689715,0.044064784,0.001274506,0.02019168,0.000487182,1050,720.8019
-0.01177085,-71.771519,0,6.6068,0.053708247,33.975,-6.53E-05,0.001709396,0.142348689,1.65E-05,0.057772624,-0.032414221,0.1103,-0.03216651,-0.0025,-0.01534,1.0629,0.006329374,0.002524751,0.003813802,-0.008124488,-0.000516716,490,720.8019
0.065448135,153.345397,0,3.4774,-0.261595304,33.975,5.88E-05,-0.003392675,0.394313473,1.49E-05,0.101010428,0.085013018,-0.1008,0.087555496,-0.0304,-0.04304,0.9814,-0.006002696,0.026067361,-0.000671968,0.035179582,0.001062668,-810,720.8019
0.026766361,34.033678,0,11.189,-0.111629426,33.975,-0.000224793,0.000890253,0.02637221,5.71E-06,0.122892934,-0.004509183,-0.1952,0.012690307,-0.0023,-0.07618,0.9411,-0.021254451,0.011825331,0.001119696,0.016607466,-0.000590232,-840,720.8019
0.009993311,-87.050128,0,24.7777,-0.07435176,21.67766667,0.000150862,0.007710017,0.089392807,2.38E-05,-0.203806953,0.00087945,0.0036,0.00104527,0.0122,-0.02384,0.9178,0.026741497,0.026479923,0.000745768,0.02746145,-0.000295247,-20,-894.6975
-0.014639751,-189.408134,0,17.1749,0.04227564,21.67766667,-0.000144067,-0.000191557,-0.096632116,9.57E-06,0.073668081,-0.026333044,0.0716,-0.027336979,0.0055,0.01614,0.9086,0.01449761,-0.065700636,0.001713158,-0.002961495,0.004493065,-670,-894.6975
0.014872326,-70.278413,0,63.7273,-0.066747763,21.67766667,0.000230301,0.008096723,0.197896425,1.62E-05,0.037254486,0.015292874,-0.0263,0.005721363,0.0095,0.00426,0.8954,0.007635906,-0.012301265,0.000520814,-0.007007881,-0.002221912,410,-894.6975
-0.013815644,-218.810324,0,56.4959,0.012860149,21.67766667,7.10E-06,0.004909455,-0.4063047,2.18E-05,0.015265569,-0.088071102,0.0272,-0.08716845,-0.0019,0.00562,0.8696,0.005317239,0.034381279,0.001115117,0.013675848,0.001722045,-910,-894.6975
0.021333719,-124.967659,0,39.1718,-0.071198655,26.30866667,-5.20E-05,0.004381542,0.380345885,9.03E-06,-0.027183484,0.009064751,-0.0266,-0.00614367,-0.009,0.0386,0.7872,0.01288761,-0.004037778,0.001633259,0.030795284,-0.000411843,700,834.1213
0.004219896,-118.542376,0,0,-0.020100412,26.30866667,0.000171126,0.002743683,0.119827952,2.30E-05,-0.000358239,-0.00845802,-0.0606,0.000700315,-0.0031,0.02308,0.8123,-0.006247305,0.01964395,0.000370824,-0.010148965,-0.00513283,710,834.1213
-0.024573534,-305.260557,0,37.1628,0.080391274,26.30866667,-0.000154412,0.006091839,-0.153688544,1.58E-05,0.062579664,-0.034930909,0.2266,-0.032412554,0.0092,0.02282,0.8105,0.022604652,-0.002177952,-0.001706928,0.017300705,-0.006721243,-380,834.1213
-0.001361464,-52.634676,0,50.521,0.003819247,26.30866667,-6.65E-06,0.004872832,-0.195472351,9.53E-07,-0.884875207,-0.006007577,-0.122,0.001979197,-0.0002,0.01094,0.7729,-0.003039797,0.00166592,-0.000668722,0.005903628,-0.002608652,-380,834.1213
0.026964287,41.346209,0,7.3263,-0.023474631,26.30866667,0.000477491,0.006072407,0.023579465,1.62E-05,0.728319825,0.01892281,-0.0719,0.032405023,-0.0035,0.03334,0.7567,0.023918152,0.050069755,0.001930646,0.010417467,0.000208943,900,834.1213
0.036345976,94.877684,0,31.4026,-0.101441125,35.17733333,0.000562346,0.00327406,0.23330571,-7.11E-06,-1.554438675,0.031287416,-0.0739,0.053729619,0.0035,0.0106,0.77,0.005575275,0.025016338,0.000519153,0.007295174,-0.002704703,250,-79.2659
